Position,Level,Salary
CEO,2,53692
Financial Analyst,2,54296
Senior Consultant,8,297563
Senior Consultant,1,49534
Content Strategist,10,1003297
Partner,8,304038
Software Engineer,2,50115
Junior Consultant,4,75077
Product Manager,1,46897
Data Scientist,8,295763
UX/UI Designer,3,56508
Business Analyst,8,298431
Sales Director,5,110902
Country Manager,10,996286
HR Manager,3,57756
Junior Consultant,2,49528
Partner,2,49336
Marketing Specialist,5,109671
Junior Consultant,8,302640
HR Manager,10,1003525
CEO,2,48392
Country Manager,2,45342
Region Manager,7,200417
Data Scientist,1,46711
Operations Manager,1,49326
CEO,3,55190
Region Manager,6,146545
Senior Consultant,10,1004037
Country Manager,10,995712
Software Engineer,4,81549
CEO,8,295902
Senior Partner,4,75302
Business Analyst,6,151668
Marketing Specialist,4,83093
Marketing Specialist,3,55670
HR Manager,7,202405
Partner,1,40817
Manager,9,504710
Product Manager,5,114110
Manager,9,503317
Senior Consultant,6,150288
Financial Analyst,4,79089
Manager,9,504673
Marketing Specialist,5,111891
Senior Consultant,5,113710
Operations Manager,5,111120
UX/UI Designer,8,296998
CEO,1,41683
Senior Partner,2,48437
Financial Analyst,9,495359
Data Scientist,9,504670
Senior Consultant,7,203857
CEO,10,1000187
Financial Analyst,1,41157
CEO,5,113331
Region Manager,7,200816
C-level,7,203733
C-level,5,112733
CEO,7,202377
Software Engineer,6,147807
Business Analyst,1,42020
Senior Partner,4,78252
Country Manager,9,496362
Software Engineer,5,113768
Senior Partner,8,295541
C-level,1,44632
Sales Director,10,1002624
C-level,8,297339
Junior Consultant,8,299052
CEO,3,61236
Data Scientist,2,52512
HR Manager,10,1004595
Product Manager,2,50606
Senior Partner,10,998360
Sales Director,5,114141
Financial Analyst,6,152519
C-level,7,202759
Junior Consultant,7,202494
CEO,1,48381
Data Scientist,1,49544
HR Manager,3,59114
Manager,9,496785
CEO,6,151757
Senior Consultant,1,49362
Software Engineer,10,1002274
Country Manager,6,151025
Financial Analyst,4,83062
CEO,2,49768
Country Manager,8,303636
Senior Consultant,1,46941
Software Engineer,5,112717
Region Manager,2,50187
Marketing Specialist,6,152765
Business Analyst,1,40039
HR Manager,7,198248
Software Engineer,7,198587
Data Scientist,6,151486
CEO,1,44605
Product Manager,10,1000689
UX/UI Designer,7,195180
Country Manager,9,496799
HR Manager,3,63001
CEO,2,46014
Senior Consultant,7,198177
Marketing Specialist,4,79732
Senior Consultant,8,299688
Marketing Specialist,9,496050
HR Manager,10,1002015
Content Strategist,3,62603
Region Manager,3,63854
Senior Consultant,6,154523
CEO,2,45493
Sales Director,9,496439
Sales Director,6,148969
Software Engineer,10,998316
Business Analyst,10,1002640
CEO,6,148116
Product Manager,4,78831
Financial Analyst,10,1003645
Region Manager,8,300292
Country Manager,5,111073
Marketing Specialist,2,51712
HR Manager,6,154734
Operations Manager,6,154916
UX/UI Designer,8,302716
Country Manager,5,112113
Software Engineer,5,110745
Junior Consultant,4,79590
Marketing Specialist,3,63894
Manager,2,52483
HR Manager,7,195084
Region Manager,1,46325
Business Analyst,4,78419
CEO,4,80649
Senior Consultant,8,304563
UX/UI Designer,3,59202
Data Scientist,2,52693
Region Manager,8,303411
Business Analyst,10,998463
Country Manager,3,63936
Senior Consultant,2,51269
Country Manager,1,48766
Region Manager,5,106078
Operations Manager,1,40544
Operations Manager,3,60441
Operations Manager,2,54401
UX/UI Designer,2,48660
Operations Manager,3,64701
Marketing Specialist,9,495031
Product Manager,9,504696
Partner,3,63696
UX/UI Designer,10,999934
Software Engineer,4,75492
HR Manager,7,197475
Senior Consultant,10,1002154
UX/UI Designer,4,84316
UX/UI Designer,10,1003908
Senior Consultant,8,304955
Manager,6,148447
Business Analyst,6,146286
Operations Manager,5,107984
Product Manager,1,41391
Country Manager,5,109734
Marketing Specialist,3,58796
Manager,7,202635
Sales Director,8,295142
Financial Analyst,3,64421
Sales Director,3,62158
Senior Consultant,2,51287
Region Manager,6,152697
Sales Director,2,45578
Operations Manager,5,115000
Software Engineer,1,48710
Business Analyst,5,106715
Country Manager,3,56829
Sales Director,7,204303
CEO,10,1004925
CEO,1,49085
UX/UI Designer,9,503161
Operations Manager,6,147441
Product Manager,5,110512
Business Analyst,10,997301
Data Scientist,4,78094
Marketing Specialist,6,152508
Marketing Specialist,1,40478
Senior Consultant,2,47297
Partner,6,152614
HR Manager,7,199160
Partner,7,197811
Senior Consultant,2,51684
C-level,1,41754
UX/UI Designer,10,998008
Region Manager,8,295355
Sales Director,8,301118
Manager,7,199217
UX/UI Designer,9,499685
Software Engineer,1,41187
CEO,8,304588
Junior Consultant,8,296289
Region Manager,8,298897
C-level,10,1004977
C-level,10,1003331
Senior Partner,6,145624
Manager,9,504297
Senior Consultant,2,51056
Region Manager,5,109612
Operations Manager,3,62488
Partner,4,80455
Senior Consultant,4,84121
Software Engineer,5,114795
Data Scientist,6,149169
Content Strategist,4,80244
Sales Director,3,55244
Product Manager,3,63936
Senior Consultant,5,109368
Sales Director,1,44139
Senior Consultant,9,504129
Business Analyst,7,204361
Financial Analyst,8,295462
Senior Partner,9,499103
Country Manager,7,203099
Financial Analyst,3,57792
Product Manager,9,498608
Business Analyst,7,200032
Manager,7,195415
Product Manager,5,108898
Senior Consultant,6,150972
Sales Director,1,40995
Senior Partner,10,1002229
Financial Analyst,7,204939
Senior Partner,9,495717
Partner,7,195397
Software Engineer,8,298182
Marketing Specialist,8,302310
Data Scientist,4,82660
Software Engineer,5,111581
CEO,8,295527
CEO,9,504275
Manager,10,1002126
Marketing Specialist,9,499558
Junior Consultant,9,495216
Partner,7,197819
Manager,9,498493
Operations Manager,4,78900
Marketing Specialist,7,200978
Country Manager,8,300494
HR Manager,7,202449
Partner,5,106575
Financial Analyst,8,296762
Region Manager,10,998794
UX/UI Designer,5,113766
Content Strategist,1,48397
Product Manager,4,80788
Product Manager,10,995025
Business Analyst,2,45145
HR Manager,8,299729
Country Manager,2,52618
Financial Analyst,10,996181
Data Scientist,1,40184
Country Manager,5,109310
Operations Manager,2,48368
UX/UI Designer,2,47671
Sales Director,9,498077
Region Manager,7,197173
Operations Manager,10,1002548
Sales Director,5,105641
Junior Consultant,10,995002
Region Manager,3,56980
Software Engineer,2,51803
C-level,6,153530
Senior Partner,10,997590
CEO,6,150359
CEO,5,109056
Data Scientist,7,203245
Junior Consultant,3,59671
Country Manager,2,48508
Operations Manager,3,60607
Senior Partner,1,42418
Financial Analyst,7,201000
Manager,6,146884
Marketing Specialist,4,79120
Sales Director,7,202128
Manager,9,501105
Region Manager,3,63046
Data Scientist,4,84242
Manager,8,295724
HR Manager,3,56725
Data Scientist,9,504018
Junior Consultant,6,148150
Product Manager,8,296871
Product Manager,3,63780
Data Scientist,9,498424
Operations Manager,5,113670
Content Strategist,4,77788
Financial Analyst,6,148497
Content Strategist,9,504125
Senior Consultant,4,80508
Region Manager,4,76499
Business Analyst,6,148022
Financial Analyst,10,995764
C-level,2,45908
Product Manager,2,53049
Manager,6,147820
Software Engineer,3,61063
Country Manager,6,149974
HR Manager,9,504190
Software Engineer,4,84173
CEO,3,61086
Region Manager,4,80194
Data Scientist,3,61982
Business Analyst,6,151464
Business Analyst,8,301247
Operations Manager,8,298535
Senior Partner,6,148068
Partner,1,45322
Content Strategist,1,41367
Country Manager,5,111152
Country Manager,6,147793
Product Manager,6,151477
Senior Partner,6,149701
Manager,2,54018
Senior Consultant,3,55863
CEO,3,56653
Junior Consultant,5,106856
Product Manager,9,502634
Content Strategist,5,110680
Software Engineer,9,496312
Sales Director,8,304981
HR Manager,2,54800
Financial Analyst,7,198728
Operations Manager,6,147365
Product Manager,4,78692
Business Analyst,9,497083
Senior Consultant,2,49328
Country Manager,10,997583
Partner,8,304440
Sales Director,10,998330
Region Manager,2,49123
Data Scientist,6,150220
Partner,5,113171
Content Strategist,8,300490
Region Manager,3,55789
Data Scientist,2,45705
Senior Consultant,3,56928
Marketing Specialist,1,42476
Senior Consultant,1,49755
Product Manager,3,56075
CEO,3,63121
CEO,9,502349
Junior Consultant,6,153974
UX/UI Designer,7,199838
Senior Consultant,2,54792
C-level,3,61687
Operations Manager,3,61838
Junior Consultant,3,55062
Operations Manager,10,1002642
Senior Consultant,10,995746
HR Manager,2,45757
Junior Consultant,7,204796
Product Manager,3,59978
C-level,8,297897
UX/UI Designer,7,198091
Sales Director,7,197456
Operations Manager,4,82917
Partner,1,40104
Marketing Specialist,1,41140
Country Manager,10,999848
UX/UI Designer,8,304420
Sales Director,4,81624
Software Engineer,8,304474
Region Manager,9,496124
Sales Director,6,147371
Data Scientist,1,44547
UX/UI Designer,6,150651
Country Manager,2,52580
Country Manager,1,44981
UX/UI Designer,4,78287
HR Manager,4,82711
UX/UI Designer,9,498088
Business Analyst,9,501322
Operations Manager,10,998909
Financial Analyst,4,84386
Sales Director,6,148985
Country Manager,10,1001712
Manager,5,107000
HR Manager,4,83203
Partner,10,1000963
C-level,10,997130
Financial Analyst,5,112321
Operations Manager,8,303905
UX/UI Designer,5,106584
Country Manager,9,504317
Partner,1,49125
Data Scientist,9,500752
Junior Consultant,4,84182
Sales Director,5,110633
Operations Manager,2,46784
CEO,9,495478
Sales Director,5,108481
Senior Partner,7,195791
Financial Analyst,2,45417
Software Engineer,3,64345
Senior Consultant,10,1001579
Manager,7,197096
Junior Consultant,3,57484
Software Engineer,2,53326
Financial Analyst,3,61663
Junior Consultant,8,301583
Content Strategist,2,54211
Software Engineer,10,998971
UX/UI Designer,4,82962
Sales Director,10,999630
UX/UI Designer,6,145195
Product Manager,3,56668
Region Manager,2,46770
Software Engineer,5,110450
Software Engineer,7,195626
Product Manager,1,48090
Financial Analyst,2,49757
Software Engineer,3,62540
Country Manager,10,997293
Content Strategist,8,301627
Senior Consultant,5,106868
Senior Consultant,1,48405
UX/UI Designer,1,49551
Financial Analyst,6,145982
Senior Partner,5,114463
Content Strategist,3,56319
Product Manager,2,51704
Region Manager,8,300989
Manager,8,295533
Junior Consultant,8,304241
Junior Consultant,2,45238
Senior Partner,10,999219
Operations Manager,4,82707
Junior Consultant,1,44800
Senior Partner,6,153280
Senior Consultant,5,113969
C-level,10,1003450
UX/UI Designer,5,111295
Business Analyst,9,496437
Region Manager,7,198983
CEO,3,56530
C-level,5,112548
Operations Manager,8,298802
Business Analyst,3,61388
HR Manager,8,300192
Content Strategist,7,195828
Partner,8,298779
Country Manager,7,198909
Sales Director,9,496481
Country Manager,9,502186
Junior Consultant,2,53600
Software Engineer,5,105866
Financial Analyst,8,302612
Financial Analyst,6,145258
Junior Consultant,5,111145
Marketing Specialist,2,47188
Business Analyst,7,196810
HR Manager,8,304152
Senior Consultant,6,153750
Manager,9,504403
Operations Manager,10,997664
C-level,3,57450
CEO,5,112604
Partner,1,47075
Partner,5,110470
HR Manager,3,58112
Manager,3,58848
HR Manager,7,204880
Content Strategist,9,500124
Content Strategist,9,504849
UX/UI Designer,5,106169
Manager,10,1001965
UX/UI Designer,5,112956
Marketing Specialist,3,55389
UX/UI Designer,7,195401
Senior Partner,5,105717
Country Manager,3,60696
Partner,9,498974
Region Manager,10,999753
Manager,2,52795
Marketing Specialist,2,45204
Senior Consultant,5,114305
C-level,10,995731
Data Scientist,9,503031
Business Analyst,3,56514
Senior Consultant,2,47775
Business Analyst,9,500762
C-level,2,47560
Business Analyst,4,77305
Manager,2,54603
Partner,3,64712
Partner,7,198265
HR Manager,5,107865
Senior Consultant,9,495916
HR Manager,1,41516
Partner,10,1000607
Sales Director,1,50000
C-level,4,77962
Senior Partner,5,106829
Senior Consultant,10,1003022
Financial Analyst,6,145007
Sales Director,2,53010
UX/UI Designer,1,40963
Marketing Specialist,5,106031
HR Manager,6,149324
Senior Partner,7,195796
C-level,6,148696
Manager,2,50780
Software Engineer,9,500774
Partner,1,41281
HR Manager,7,198205
Financial Analyst,2,53358
Senior Partner,2,47836
Senior Consultant,6,153789
Software Engineer,9,502164
Partner,10,1004245
Content Strategist,2,54474
Financial Analyst,9,498645
Financial Analyst,6,150697
Partner,9,496241
Partner,7,195287
Operations Manager,1,45853
